[2019-08-20 14:13:38.860975][debug]:  Reworked Height Index: 277, Value: 0
[2019-08-20 14:13:38.861043][debug]:  Reworked Height Index: 278, Value: 0
[2019-08-20 14:13:38.861114][debug]:  Reworked Height Index: 279, Value: 0
[2019-08-20 14:13:38.861182][debug]:  Reworked Height Index: 280, Value: 0
[2019-08-20 14:13:38.861251][debug]:  Reworked Height Index: 281, Value: 0
[2019-08-20 14:13:38.861320][debug]:  Reworked Height Index: 282, Value: 0
[2019-08-20 14:13:38.861388][debug]:  Reworked Height Index: 283, Value: 0
[2019-08-20 14:13:38.861457][debug]:  Reworked Height Index: 284, Value: 0
[2019-08-20 14:13:38.861525][debug]:  Reworked Height Index: 285, Value: 0
[2019-08-20 14:13:38.861594][debug]:  Reworked Height Index: 286, Value: 0
[2019-08-20 14:13:38.861662][debug]:  Reworked Height Index: 287, Value: 0
[2019-08-20 14:13:38.861731][debug]:  Reworked Height Index: 288, Value: 0
[2019-08-20 14:13:38.861799][debug]:  Reworked Height Index: 289, Value: 0
[2019-08-20 14:13:38.861868][debug]:  Reworked Height Index: 290, Value: 0
[2019-08-20 14:13:38.861937][debug]:  Reworked Height Index: 291, Value: 0
[2019-08-20 14:13:38.862005][debug]:  Reworked Height Index: 292, Value: 0
[2019-08-20 14:13:38.862078][debug]:  Reworked Height Index: 293, Value: 0
[2019-08-20 14:13:38.862148][debug]:  Reworked Height Index: 294, Value: 0
[2019-08-20 14:13:38.862217][debug]:  Reworked Height Index: 295, Value: 0
[2019-08-20 14:13:38.862288][debug]:  Reworked Height Index: 296, Value: 0
[2019-08-20 14:13:38.862357][debug]:  Reworked Height Index: 297, Value: 0
[2019-08-20 14:13:38.862425][debug]:  Reworked Height Index: 298, Value: 0
[2019-08-20 14:13:38.862494][debug]:  Reworked Height Index: 299, Value: 0
[2019-08-20 14:13:38.862562][debug]:  Reworked Height Index: 300, Value: 0
[2019-08-20 14:13:38.862690][debug]:  Reworked Height Index: 301, Value: 0
[2019-08-20 14:13:38.862773][debug]:  Reworked Height Index: 302, Value: 0
[2019-08-20 14:13:38.862852][debug]:  Reworked Height Index: 303, Value: 0
[2019-08-20 14:13:38.862934][debug]:  Reworked Height Index: 304, Value: 0
[2019-08-20 14:13:38.863019][debug]:  Reworked Height Index: 305, Value: 0
[2019-08-20 14:13:38.863162][debug]:  Reworked Height Index: 306, Value: 0
[2019-08-20 14:13:38.863407][debug]:  Reworked Height Index: 307, Value: 0
[2019-08-20 14:13:38.863760][debug]:  Reworked Height Index: 308, Value: 0
[2019-08-20 14:13:38.864094][debug]:  Reworked Height Index: 309, Value: 0
[2019-08-20 14:13:38.864193][debug]:  Reworked Height Index: 310, Value: 0
